#(id,length,speed,channel,from,to,isDuplex)
(5048, 37, 15, 2, 28, 29, 1)
(5049, 20, 12, 5, 28, 38, 0)
(5050, 24, 12, 3, 29, 30, 1)
(5051, 37, 19, 1, 29, 39, 1)
(5052, 34, 14, 2, 30, 40, 1)
(5053, 39, 17, 1, 31, 32, 1)
(5054, 25, 12, 1, 31, 41, 1)
(5055, 32, 16, 4, 32, 33, 1)
(5056, 26, 11, 2, 32, 42, 1)
(5057, 29, 15, 5, 33, 34, 1)
(5058, 36, 12, 5, 33, 43, 0)
(5059, 35, 17, 3, 34, 35, 1)
(5060, 32, 15, 4, 34, 44, 1)
(5061, 30, 13, 5, 35, 36, 1)
(5062, 34, 14, 3, 35, 45, 1)
(5063, 20, 11, 3, 36, 37, 1)
(5064, 25, 18, 3, 36, 46, 1)
(5065, 39, 16, 4, 37, 38, 1)
(5066, 39, 18, 2, 37, 47, 1)
(5067, 29, 13, 4, 38, 39, 0)
(5068, 36, 19, 2, 38, 48, 1)
(5069, 22, 10, 1, 39, 40, 1)
(5070, 37, 16, 5, 39, 49, 1)
(5071, 27, 17, 5, 40, 50, 1)
(5072, 23, 19, 2, 41, 42, 1)
(5073, 36, 16, 3, 41, 51, 1)
(5074, 39, 17, 5, 42, 43, 1)
(5075, 34, 16, 3, 42, 52, 1)
(5076, 33, 10, 4, 43, 44, 1)
(5077, 37, 11, 5, 43, 53, 1)
(5078, 21, 14, 1, 44, 45, 1)
(5079, 32, 10, 1, 45, 46, 0)
(5080, 25, 18, 5, 45, 55, 1)
(5081, 32, 16, 2, 46, 47, 1)
(5082, 20, 14, 3, 46, 56, 1)
(5083, 31, 18, 2, 47, 48, 1)
(5084, 23, 16, 4, 47, 57, 1)
(5085, 20, 17, 5, 48, 49, 1)
(5086, 33, 15, 2, 48, 58, 1)
(5087, 27, 17, 1, 49, 50, 1)
(5088, 29, 11, 5, 49, 59, 1)
(5089, 24, 19, 4, 50, 60, 1)
(5090, 34, 11, 3, 51, 61, 1)
(5091, 38, 11, 3, 52, 62, 1)
(5092, 32, 11, 3, 53, 54, 1)
(5093, 33, 17, 2, 53, 63, 1)
(5094, 36, 13, 3, 54, 55, 0)
(5095, 32, 10, 4, 54, 64, 1)
(5096, 36, 18, 4, 55, 56, 1)
(5097, 34, 18, 5, 55, 65, 1)
(5098, 21, 18, 3, 56, 57, 1)
(5099, 37, 13, 4, 56, 66, 1)
(5100, 34, 18, 2, 57, 58, 1)
(5101, 35, 19, 2, 57, 67, 1)
(5102, 28, 15, 1, 58, 59, 1)
(5103, 23, 10, 4, 58, 68, 1)
(5104, 35, 18, 4, 59, 60, 1)
(5105, 36, 19, 1, 59, 69, 1)
(5106, 21, 15, 4, 60, 70, 1)
(5107, 29, 19, 3, 61, 62, 1)
(5108, 33, 13, 5, 61, 71, 1)
(5109, 23, 16, 3, 62, 63, 1)
(5110, 33, 19, 1, 62, 72, 1)
(5111, 32, 10, 5, 64, 65, 1)
(5112, 33, 14, 3, 64, 74, 1)
(5113, 32, 14, 5, 65, 66, 1)
(5114, 23, 10, 2, 65, 75, 1)
(5115, 26, 12, 4, 66, 67, 1)
(5116, 26, 12, 1, 66, 76, 1)
(5117, 35, 19, 2, 67, 68, 1)
(5118, 26, 19, 4, 67, 77, 1)
(5119, 26, 16, 2, 68, 69, 1)
(5120, 33, 12, 4, 68, 78, 1)
(5121, 31, 13, 2, 69, 70, 1)
(5122, 38, 15, 4, 70, 80, 1)
(5123, 31, 18, 3, 71, 72, 1)
(5124, 37, 11, 2, 71, 81, 1)
(5125, 29, 10, 2, 72, 82, 0)
(5126, 33, 18, 4, 73, 74, 1)
(5127, 23, 16, 5, 73, 83, 1)
(5128, 39, 12, 4, 74, 75, 1)
(5129, 37, 16, 5, 74, 84, 1)
(5130, 22, 18, 4, 75, 76, 1)
(5131, 31, 11, 2, 75, 85, 1)
(5132, 21, 14, 5, 76, 77, 1)
(5133, 27, 17, 2, 76, 86, 1)
(5134, 33, 13, 1, 77, 78, 1)
(5135, 39, 13, 2, 77, 87, 1)
(5136, 38, 15, 5, 78, 79, 1)
(5137, 22, 18, 5, 78, 88, 0)
(5138, 26, 19, 4, 79, 80, 1)
(5139, 22, 13, 3, 80, 90, 1)
(5140, 39, 18, 5, 81, 82, 1)
(5141, 25, 18, 1, 81, 91, 1)
(5142, 26, 10, 2, 82, 83, 1)
(5143, 25, 10, 3, 82, 92, 1)
(5144, 36, 15, 3, 83, 84, 0)
(5145, 25, 18, 2, 83, 93, 1)
(5146, 33, 11, 1, 84, 85, 1)
(5147, 25, 16, 5, 84, 94, 1)
(5148, 28, 18, 3, 85, 86, 1)
(5149, 39, 10, 5, 85, 95, 1)
(5150, 35, 14, 4, 86, 87, 1)
(5151, 35, 15, 3, 86, 96, 0)
(5152, 33, 16, 3, 87, 88, 1)
(5153, 25, 14, 5, 87, 97, 1)
(5154, 34, 13, 3, 88, 89, 1)
(5155, 39, 19, 5, 88, 98, 1)
(5156, 37, 10, 2, 89, 90, 1)
(5157, 31, 10, 5, 89, 99, 1)
(5158, 27, 19, 3, 90, 100, 1)
(5159, 35, 16, 1, 91, 92, 0)
(5160, 30, 17, 1, 92, 93, 1)
(5161, 39, 16, 2, 93, 94, 1)
(5162, 30, 19, 5, 94, 95, 1)
(5163, 30, 11, 4, 95, 96, 1)
(5164, 34, 17, 2, 96, 97, 1)
(5165, 29, 19, 4, 97, 98, 1)
(5166, 31, 16, 5, 98, 99, 1)
(5167, 22, 19, 3, 99, 100, 1)
