#(id,from,to,speed,planTime)
(10077, 44, 77, 6, 63)
(10078, 7, 16, 8, 20)
(10079, 46, 18, 8, 5)
(10080, 21, 27, 6, 85)
(10081, 36, 7, 6, 98)
(10082, 4, 70, 8, 5)
(10083, 53, 33, 4, 41)
(10084, 56, 51, 8, 25)
(10085, 12, 16, 4, 19)
(10086, 9, 60, 8, 98)
(10087, 82, 85, 4, 93)
(10088, 57, 14, 4, 83)
(10089, 23, 56, 6, 39)
(10090, 72, 1, 6, 28)
(10091, 2, 87, 8, 40)
(10092, 88, 98, 4, 59)
(10093, 59, 81, 6, 51)
(10094, 94, 91, 4, 45)
(10095, 97, 31, 6, 12)
(10096, 18, 56, 6, 30)
(10097, 75, 96, 8, 36)
(10098, 69, 63, 6, 89)
(10099, 34, 90, 4, 44)
(10100, 19, 78, 8, 8)
(10101, 65, 64, 8, 41)
(10102, 37, 64, 8, 22)
(10103, 27, 57, 4, 44)
(10104, 41, 65, 8, 8)
(10105, 94, 46, 6, 79)
(10106, 7, 70, 4, 45)
(10107, 65, 94, 8, 22)
(10108, 61, 84, 4, 47)
(10109, 12, 10, 8, 98)
(10110, 76, 62, 8, 52)
(10111, 78, 27, 6, 37)
(10112, 47, 42, 8, 39)
(10113, 99, 34, 4, 48)
(10114, 83, 13, 4, 57)
(10115, 80, 91, 6, 89)
(10116, 63, 39, 4, 13)
(10117, 43, 30, 8, 79)
(10118, 100, 16, 6, 51)
(10119, 68, 33, 8, 20)
(10120, 13, 90, 6, 76)
(10121, 48, 67, 4, 48)
(10122, 80, 65, 6, 75)
(10123, 18, 94, 8, 11)
(10124, 70, 72, 8, 52)
(10125, 56, 37, 4, 52)
(10126, 48, 11, 4, 60)
(10127, 48, 14, 8, 63)
(10128, 90, 52, 6, 6)
(10129, 67, 23, 6, 75)
(10130, 72, 3, 4, 26)
(10131, 28, 70, 6, 72)
(10132, 91, 50, 6, 8)
(10133, 89, 98, 6, 99)
(10134, 97, 86, 4, 87)
(10135, 70, 66, 4, 86)
(10136, 72, 82, 4, 31)
(10137, 72, 39, 6, 41)
(10138, 50, 85, 8, 89)
(10139, 70, 28, 6, 2)
(10140, 93, 23, 8, 93)
(10141, 1, 38, 4, 23)
(10142, 24, 79, 6, 41)
(10143, 95, 44, 4, 38)
(10144, 5, 58, 8, 41)
(10145, 82, 75, 4, 19)
(10146, 17, 7, 8, 22)
(10147, 93, 10, 6, 80)
(10148, 18, 40, 6, 35)
(10149, 10, 89, 6, 13)
(10150, 25, 40, 4, 41)
(10151, 1, 21, 4, 43)
(10152, 71, 14, 4, 51)
(10153, 42, 89, 8, 53)
(10154, 93, 20, 4, 59)
(10155, 22, 69, 6, 38)
(10156, 81, 33, 8, 69)
(10157, 86, 63, 4, 1)
(10158, 30, 18, 4, 73)
(10159, 54, 69, 6, 43)
(10160, 50, 46, 8, 41)
(10161, 49, 43, 8, 70)
(10162, 16, 75, 4, 93)
(10163, 17, 23, 6, 3)
(10164, 29, 40, 4, 27)
(10165, 4, 54, 8, 41)
(10166, 79, 66, 8, 32)
(10167, 68, 45, 6, 40)
(10168, 89, 26, 4, 9)
(10169, 10, 70, 8, 96)
(10170, 39, 78, 4, 86)
(10171, 66, 56, 4, 3)
(10172, 19, 12, 8, 9)
(10173, 30, 50, 4, 15)
(10174, 22, 61, 6, 10)
(10175, 78, 52, 8, 92)
(10176, 100, 70, 6, 22)
(10177, 78, 88, 8, 42)
(10178, 91, 16, 4, 75)
(10179, 28, 69, 8, 83)
(10180, 33, 49, 4, 12)
(10181, 1, 79, 4, 15)
(10182, 71, 20, 8, 32)
(10183, 97, 58, 4, 56)
(10184, 14, 72, 6, 31)
(10185, 53, 35, 8, 83)
(10186, 30, 67, 4, 73)
(10187, 97, 7, 4, 8)
(10188, 11, 43, 8, 17)
(10189, 31, 66, 4, 52)
(10190, 27, 30, 8, 35)
(10191, 78, 38, 8, 21)
(10192, 64, 75, 4, 22)
(10193, 46, 13, 4, 42)
(10194, 73, 75, 4, 75)
(10195, 18, 76, 8, 76)
(10196, 8, 17, 4, 93)
(10197, 22, 36, 8, 60)
(10198, 55, 81, 8, 8)
(10199, 13, 29, 4, 31)
(10200, 77, 33, 8, 72)
(10201, 36, 25, 8, 10)
(10202, 34, 2, 8, 64)
(10203, 11, 30, 4, 68)
(10204, 58, 43, 4, 4)
(10205, 71, 43, 4, 80)
(10206, 93, 10, 4, 72)
(10207, 88, 89, 4, 16)
(10208, 54, 49, 8, 32)
(10209, 29, 42, 6, 10)
(10210, 77, 23, 4, 81)
(10211, 24, 23, 4, 97)
(10212, 98, 14, 6, 79)
(10213, 41, 63, 4, 6)
(10214, 78, 51, 6, 35)
(10215, 19, 23, 8, 82)
(10216, 72, 55, 4, 11)
(10217, 28, 54, 6, 52)
(10218, 9, 7, 6, 21)
(10219, 86, 95, 6, 29)
(10220, 37, 42, 6, 46)
(10221, 69, 34, 6, 76)
(10222, 91, 81, 4, 9)
(10223, 28, 97, 6, 87)
(10224, 10, 38, 4, 81)
(10225, 41, 67, 6, 96)
(10226, 50, 25, 4, 26)
(10227, 2, 54, 8, 93)
(10228, 62, 65, 4, 43)
(10229, 79, 76, 6, 64)
(10230, 74, 76, 4, 44)
(10231, 90, 75, 6, 29)
(10232, 78, 79, 4, 24)
(10233, 40, 17, 6, 61)
(10234, 39, 93, 6, 81)
(10235, 42, 23, 6, 85)
(10236, 100, 49, 8, 15)
(10237, 51, 44, 6, 22)
(10238, 79, 4, 4, 8)
(10239, 48, 6, 8, 91)
(10240, 53, 9, 6, 21)
(10241, 100, 1, 4, 37)
(10242, 32, 2, 4, 50)
(10243, 44, 79, 4, 57)
(10244, 73, 84, 8, 67)
(10245, 7, 8, 6, 46)
(10246, 43, 90, 4, 54)
(10247, 31, 93, 8, 89)
(10248, 48, 13, 4, 73)
(10249, 43, 71, 4, 2)
(10250, 52, 54, 6, 74)
(10251, 22, 41, 6, 28)
(10252, 67, 12, 4, 66)
(10253, 46, 87, 8, 66)
(10254, 82, 4, 8, 14)
(10255, 14, 75, 8, 72)
(10256, 30, 41, 8, 84)
(10257, 39, 58, 8, 29)
(10258, 83, 29, 8, 82)
(10259, 55, 77, 4, 45)
(10260, 54, 52, 4, 63)
(10261, 50, 79, 4, 88)
(10262, 61, 3, 4, 75)
(10263, 58, 30, 4, 38)
(10264, 27, 3, 8, 46)
(10265, 26, 2, 8, 48)
(10266, 62, 57, 6, 93)
(10267, 49, 3, 8, 32)
(10268, 93, 96, 6, 1)
(10269, 27, 61, 6, 95)
(10270, 94, 84, 4, 64)
(10271, 42, 66, 6, 66)
(10272, 31, 17, 4, 42)
(10273, 25, 62, 8, 84)
(10274, 49, 85, 4, 42)
(10275, 27, 45, 6, 80)
(10276, 25, 16, 8, 76)
(10277, 7, 49, 8, 60)
(10278, 63, 21, 8, 8)
(10279, 47, 93, 6, 97)
(10280, 28, 7, 8, 95)
(10281, 41, 62, 6, 90)
(10282, 2, 57, 6, 70)
(10283, 23, 45, 4, 79)
(10284, 68, 45, 6, 46)
(10285, 23, 88, 4, 71)
(10286, 2, 84, 6, 46)
(10287, 49, 48, 8, 26)
(10288, 64, 95, 8, 69)
(10289, 52, 18, 4, 28)
(10290, 78, 8, 8, 92)
(10291, 100, 82, 8, 25)
(10292, 93, 49, 8, 83)
(10293, 61, 95, 6, 79)
(10294, 82, 71, 8, 36)
(10295, 71, 89, 4, 86)
(10296, 33, 91, 4, 8)
(10297, 12, 32, 8, 97)
(10298, 24, 95, 4, 57)
(10299, 59, 37, 8, 98)
(10300, 76, 44, 8, 22)
(10301, 31, 86, 6, 70)
(10302, 4, 21, 4, 27)
(10303, 10, 71, 4, 85)
(10304, 90, 73, 4, 38)
(10305, 49, 24, 8, 13)
(10306, 20, 74, 4, 74)
(10307, 68, 80, 8, 16)
(10308, 68, 7, 4, 44)
(10309, 55, 98, 8, 34)
(10310, 4, 82, 6, 84)
(10311, 24, 59, 4, 79)
(10312, 37, 62, 6, 5)
(10313, 55, 31, 6, 66)
(10314, 42, 93, 8, 87)
(10315, 42, 5, 4, 33)
(10316, 58, 4, 8, 21)
(10317, 65, 94, 8, 43)
(10318, 100, 76, 4, 95)
(10319, 25, 44, 6, 64)
(10320, 64, 81, 4, 87)
(10321, 80, 19, 4, 8)
(10322, 48, 9, 4, 57)
(10323, 79, 27, 6, 14)
(10324, 95, 63, 6, 19)
(10325, 23, 39, 6, 65)
(10326, 54, 35, 4, 8)
(10327, 47, 83, 8, 53)
(10328, 53, 19, 6, 75)
(10329, 29, 9, 6, 84)
(10330, 6, 15, 4, 63)
(10331, 18, 6, 6, 71)
(10332, 33, 27, 4, 28)
(10333, 6, 69, 4, 17)
(10334, 82, 76, 4, 53)
(10335, 95, 2, 6, 54)
(10336, 39, 29, 6, 95)
(10337, 27, 21, 6, 95)
(10338, 8, 54, 4, 99)
(10339, 32, 16, 6, 82)
(10340, 81, 53, 6, 38)
(10341, 71, 32, 6, 96)
(10342, 90, 85, 6, 73)
(10343, 22, 13, 4, 97)
(10344, 96, 86, 8, 14)
(10345, 59, 68, 8, 19)
(10346, 44, 94, 6, 41)
(10347, 26, 100, 8, 53)
(10348, 76, 99, 6, 63)
(10349, 15, 31, 4, 74)
(10350, 59, 86, 6, 85)
(10351, 71, 73, 6, 94)
(10352, 24, 74, 4, 69)
(10353, 51, 61, 8, 100)
(10354, 26, 47, 8, 77)
(10355, 37, 18, 4, 3)
(10356, 70, 24, 8, 12)
(10357, 5, 17, 6, 61)
(10358, 56, 78, 4, 42)
(10359, 73, 56, 8, 41)
(10360, 96, 28, 6, 77)
(10361, 71, 56, 4, 23)
(10362, 47, 52, 8, 30)
(10363, 47, 61, 6, 61)
(10364, 88, 6, 8, 86)
(10365, 99, 63, 6, 42)
(10366, 94, 3, 4, 42)
(10367, 80, 8, 8, 97)
(10368, 59, 67, 6, 30)
(10369, 15, 78, 8, 33)
(10370, 13, 64, 8, 70)
(10371, 36, 67, 6, 59)
(10372, 78, 30, 6, 92)
(10373, 34, 28, 4, 32)
(10374, 89, 6, 6, 40)
(10375, 28, 74, 4, 10)
(10376, 2, 41, 4, 86)
(10377, 79, 68, 4, 4)
(10378, 56, 1, 8, 23)
(10379, 50, 38, 6, 75)
(10380, 53, 19, 4, 48)
(10381, 89, 30, 6, 8)
(10382, 81, 89, 4, 55)
(10383, 45, 57, 8, 42)
(10384, 15, 21, 8, 99)
(10385, 35, 97, 4, 61)
(10386, 77, 28, 4, 37)
(10387, 43, 89, 4, 92)
(10388, 90, 70, 6, 45)
(10389, 62, 90, 8, 19)
(10390, 39, 1, 8, 43)
(10391, 81, 100, 8, 35)
(10392, 78, 3, 8, 14)
(10393, 31, 10, 4, 8)
(10394, 75, 19, 6, 7)
(10395, 57, 32, 4, 71)
(10396, 21, 50, 4, 40)
(10397, 87, 17, 6, 78)
(10398, 42, 37, 6, 31)
(10399, 52, 74, 8, 9)
(10400, 13, 70, 6, 31)
(10401, 97, 53, 4, 47)
(10402, 31, 99, 4, 34)
(10403, 47, 70, 6, 17)
(10404, 52, 21, 6, 10)
(10405, 42, 41, 6, 52)
(10406, 14, 85, 8, 56)
(10407, 90, 12, 6, 53)
(10408, 89, 69, 6, 41)
(10409, 81, 13, 4, 86)
(10410, 86, 71, 8, 22)
(10411, 41, 32, 6, 29)
(10412, 10, 48, 4, 3)
(10413, 79, 41, 6, 14)
(10414, 90, 62, 6, 61)
(10415, 48, 36, 4, 88)
(10416, 8, 47, 4, 27)
(10417, 53, 62, 8, 9)
(10418, 44, 17, 8, 35)
(10419, 4, 48, 8, 39)
(10420, 58, 79, 4, 74)
(10421, 66, 46, 6, 87)
(10422, 70, 17, 4, 21)
(10423, 61, 37, 6, 79)
(10424, 11, 99, 6, 4)
(10425, 82, 35, 4, 53)
(10426, 61, 1, 8, 50)
(10427, 29, 60, 8, 19)
(10428, 12, 17, 8, 30)
(10429, 77, 69, 8, 19)
(10430, 3, 96, 8, 3)
(10431, 46, 24, 8, 91)
(10432, 77, 42, 4, 87)
(10433, 46, 100, 6, 97)
(10434, 68, 38, 6, 63)
(10435, 38, 26, 6, 33)
(10436, 41, 35, 6, 42)
(10437, 69, 23, 6, 68)
(10438, 34, 81, 8, 19)
(10439, 28, 58, 4, 72)
(10440, 97, 28, 8, 57)
(10441, 13, 61, 4, 54)
(10442, 79, 43, 6, 63)
(10443, 62, 28, 4, 37)
(10444, 94, 33, 8, 43)
(10445, 68, 74, 8, 57)
(10446, 9, 60, 4, 96)
(10447, 40, 41, 8, 33)
(10448, 12, 19, 8, 74)
(10449, 5, 36, 4, 74)
(10450, 71, 34, 8, 44)
(10451, 62, 20, 6, 83)
(10452, 73, 15, 8, 32)
(10453, 68, 50, 4, 17)
(10454, 30, 9, 4, 31)
(10455, 20, 42, 8, 85)
(10456, 41, 93, 6, 59)
(10457, 28, 60, 6, 13)
(10458, 2, 34, 4, 97)
(10459, 32, 10, 6, 34)
(10460, 14, 73, 8, 63)
(10461, 84, 38, 4, 51)
(10462, 94, 54, 4, 2)
(10463, 89, 34, 6, 1)
(10464, 100, 67, 8, 96)
(10465, 79, 17, 6, 90)
(10466, 93, 2, 8, 2)
(10467, 57, 41, 4, 23)
(10468, 65, 34, 8, 74)
(10469, 82, 87, 8, 89)
(10470, 23, 27, 8, 91)
(10471, 18, 47, 6, 74)
(10472, 84, 58, 8, 96)
(10473, 47, 11, 6, 22)
(10474, 60, 46, 8, 79)
(10475, 72, 36, 6, 65)
(10476, 54, 67, 8, 63)
(10477, 13, 9, 4, 89)
(10478, 84, 3, 4, 30)
(10479, 60, 22, 4, 34)
(10480, 63, 78, 6, 38)
(10481, 28, 3, 6, 100)
(10482, 5, 22, 4, 23)
(10483, 78, 69, 4, 84)
(10484, 73, 53, 8, 66)
(10485, 25, 78, 8, 47)
(10486, 61, 45, 8, 71)
(10487, 32, 7, 4, 81)
(10488, 41, 69, 8, 11)
(10489, 65, 81, 8, 44)
(10490, 12, 62, 6, 36)
(10491, 22, 73, 6, 86)
(10492, 93, 98, 6, 40)
(10493, 62, 74, 4, 80)
(10494, 1, 82, 4, 48)
(10495, 72, 32, 8, 28)
(10496, 2, 68, 8, 21)
(10497, 100, 93, 8, 20)
(10498, 59, 47, 8, 3)
(10499, 95, 23, 4, 72)
(10500, 47, 12, 4, 69)
(10501, 90, 43, 4, 44)
(10502, 83, 100, 6, 63)
(10503, 5, 2, 4, 17)
(10504, 56, 33, 6, 37)
(10505, 22, 2, 6, 82)
(10506, 25, 3, 8, 11)
(10507, 73, 63, 6, 44)
(10508, 91, 36, 8, 35)
(10509, 64, 50, 6, 32)
(10510, 52, 14, 8, 68)
(10511, 19, 35, 4, 91)
(10512, 23, 43, 4, 25)
(10513, 59, 61, 8, 60)
(10514, 12, 29, 8, 83)
(10515, 8, 30, 4, 78)
(10516, 66, 8, 4, 87)
(10517, 40, 49, 8, 87)
(10518, 66, 60, 6, 19)
(10519, 98, 35, 6, 95)
(10520, 6, 45, 6, 6)
(10521, 53, 30, 4, 1)
(10522, 18, 66, 6, 69)
(10523, 97, 63, 8, 34)
(10524, 74, 39, 8, 16)
(10525, 72, 54, 8, 62)
(10526, 20, 70, 6, 86)
(10527, 74, 61, 8, 99)
(10528, 16, 78, 8, 72)
(10529, 44, 94, 8, 51)
(10530, 82, 2, 6, 31)
(10531, 72, 23, 4, 43)
(10532, 18, 47, 4, 53)
(10533, 87, 46, 6, 30)
(10534, 38, 18, 4, 74)
(10535, 29, 55, 4, 39)
(10536, 1, 36, 6, 67)
(10537, 15, 35, 6, 29)
(10538, 74, 56, 8, 82)
(10539, 29, 75, 4, 91)
(10540, 46, 80, 8, 8)
(10541, 33, 98, 6, 28)
(10542, 84, 53, 8, 87)
(10543, 16, 63, 8, 32)
(10544, 65, 46, 6, 81)
(10545, 36, 9, 8, 62)
(10546, 52, 2, 8, 31)
(10547, 13, 40, 6, 94)
(10548, 82, 59, 8, 72)
(10549, 53, 30, 4, 53)
(10550, 18, 52, 8, 75)
(10551, 57, 14, 6, 3)
(10552, 39, 73, 6, 25)
(10553, 76, 46, 8, 48)
(10554, 72, 78, 6, 69)
(10555, 69, 43, 8, 77)
(10556, 43, 80, 6, 19)
(10557, 22, 79, 8, 30)
(10558, 23, 89, 4, 37)
(10559, 8, 71, 8, 12)
(10560, 11, 10, 4, 52)
(10561, 67, 14, 6, 80)
(10562, 91, 36, 8, 79)
(10563, 33, 46, 8, 86)
(10564, 67, 3, 4, 82)
(10565, 79, 28, 4, 35)
(10566, 2, 68, 6, 41)
(10567, 39, 21, 6, 64)
(10568, 32, 17, 4, 42)
(10569, 53, 60, 8, 44)
(10570, 30, 13, 6, 6)
(10571, 7, 95, 8, 4)
(10572, 6, 27, 8, 20)
(10573, 63, 79, 6, 40)
(10574, 16, 2, 8, 69)
(10575, 81, 26, 8, 45)
(10576, 17, 87, 6, 94)
(10577, 12, 34, 4, 100)
(10578, 88, 68, 6, 52)
(10579, 43, 73, 4, 67)
(10580, 51, 12, 8, 61)
(10581, 57, 50, 4, 2)
(10582, 1, 38, 4, 82)
(10583, 37, 15, 4, 49)
(10584, 53, 2, 8, 78)
(10585, 85, 69, 8, 82)
(10586, 92, 54, 6, 27)
(10587, 73, 5, 4, 82)
(10588, 55, 65, 6, 70)
(10589, 80, 95, 8, 77)
(10590, 62, 69, 8, 23)
(10591, 6, 83, 4, 79)
(10592, 55, 7, 6, 82)
(10593, 31, 57, 6, 99)
(10594, 75, 94, 4, 12)
(10595, 51, 58, 8, 62)
(10596, 34, 32, 6, 67)
(10597, 82, 31, 4, 10)
(10598, 35, 3, 4, 53)
(10599, 55, 43, 8, 37)
(10600, 32, 5, 8, 9)
(10601, 34, 91, 4, 72)
(10602, 4, 63, 6, 12)
(10603, 1, 68, 6, 32)
(10604, 83, 65, 8, 81)
(10605, 79, 75, 6, 34)
(10606, 69, 36, 4, 28)
(10607, 15, 9, 8, 24)
(10608, 3, 56, 6, 21)
(10609, 41, 55, 4, 60)
(10610, 41, 100, 4, 92)
(10611, 19, 67, 4, 5)
(10612, 100, 78, 8, 19)
(10613, 29, 38, 4, 34)
(10614, 1, 67, 6, 34)
(10615, 10, 51, 8, 51)
(10616, 99, 23, 8, 75)
(10617, 34, 29, 8, 12)
(10618, 52, 42, 4, 81)
(10619, 60, 96, 8, 2)
(10620, 88, 96, 4, 32)
(10621, 1, 37, 4, 38)
(10622, 44, 11, 4, 22)
(10623, 68, 20, 4, 75)
(10624, 72, 47, 6, 39)
(10625, 33, 86, 6, 18)
(10626, 97, 48, 4, 12)
(10627, 93, 29, 4, 47)
(10628, 27, 93, 8, 47)
(10629, 8, 3, 8, 87)
(10630, 73, 38, 4, 10)
(10631, 44, 91, 6, 73)
(10632, 74, 48, 8, 70)
(10633, 32, 49, 6, 79)
(10634, 13, 56, 6, 18)
(10635, 2, 84, 6, 33)
(10636, 52, 37, 8, 26)
(10637, 44, 2, 4, 64)
(10638, 49, 81, 6, 27)
(10639, 64, 29, 8, 4)
(10640, 81, 23, 8, 6)
(10641, 17, 93, 6, 35)
(10642, 67, 73, 4, 2)
(10643, 76, 47, 4, 38)
(10644, 82, 89, 6, 16)
(10645, 48, 17, 4, 8)
(10646, 18, 97, 8, 46)
(10647, 55, 3, 4, 56)
(10648, 84, 1, 6, 4)
(10649, 56, 82, 8, 79)
(10650, 18, 51, 4, 19)
(10651, 17, 32, 8, 81)
(10652, 22, 72, 4, 48)
(10653, 46, 82, 4, 47)
(10654, 27, 15, 6, 77)
(10655, 15, 53, 8, 59)
(10656, 78, 73, 6, 98)
(10657, 7, 34, 8, 20)
(10658, 54, 63, 6, 84)
(10659, 55, 67, 8, 63)
(10660, 18, 69, 8, 28)
(10661, 82, 48, 4, 13)
(10662, 48, 40, 8, 75)
(10663, 46, 15, 8, 90)
(10664, 61, 26, 6, 1)
(10665, 74, 24, 8, 2)
(10666, 78, 3, 4, 91)
(10667, 38, 67, 6, 71)
(10668, 70, 40, 8, 37)
(10669, 76, 79, 6, 7)
(10670, 37, 8, 4, 23)
(10671, 71, 27, 6, 92)
(10672, 80, 90, 4, 23)
(10673, 48, 19, 4, 10)
(10674, 24, 69, 4, 60)
(10675, 17, 54, 4, 85)
(10676, 66, 17, 8, 9)
(10677, 19, 96, 6, 68)
(10678, 67, 2, 4, 49)
(10679, 30, 68, 8, 27)
(10680, 92, 97, 4, 99)
(10681, 41, 16, 6, 19)
(10682, 27, 20, 4, 27)
(10683, 59, 35, 6, 95)
(10684, 72, 21, 8, 10)
(10685, 29, 9, 8, 16)
(10686, 57, 39, 6, 18)
(10687, 50, 77, 4, 46)
(10688, 30, 12, 6, 78)
(10689, 50, 11, 8, 48)
(10690, 22, 47, 6, 88)
(10691, 39, 76, 8, 57)
(10692, 96, 47, 6, 33)
(10693, 92, 27, 6, 51)
(10694, 94, 83, 4, 63)
(10695, 97, 30, 4, 37)
(10696, 1, 90, 4, 21)
(10697, 61, 27, 4, 67)
(10698, 34, 49, 4, 32)
(10699, 76, 64, 4, 65)
(10700, 55, 100, 4, 9)
(10701, 98, 12, 4, 58)
(10702, 33, 20, 4, 38)
(10703, 66, 19, 4, 27)
(10704, 98, 59, 8, 4)
(10705, 87, 82, 4, 17)
(10706, 88, 4, 8, 50)
(10707, 68, 60, 8, 82)
(10708, 91, 89, 4, 72)
(10709, 52, 93, 4, 76)
(10710, 42, 61, 4, 99)
(10711, 48, 23, 6, 59)
(10712, 48, 68, 4, 98)
(10713, 75, 54, 6, 23)
(10714, 91, 8, 6, 14)
(10715, 71, 96, 8, 48)
(10716, 44, 8, 8, 89)
(10717, 60, 24, 8, 86)
(10718, 23, 6, 6, 62)
(10719, 10, 85, 8, 39)
(10720, 75, 77, 6, 39)
(10721, 48, 98, 8, 88)
(10722, 66, 81, 8, 56)
(10723, 21, 30, 6, 37)
(10724, 40, 90, 6, 8)
(10725, 41, 96, 4, 37)
(10726, 98, 47, 6, 36)
(10727, 2, 49, 4, 13)
(10728, 5, 34, 6, 40)
(10729, 59, 96, 6, 19)
(10730, 18, 85, 4, 90)
(10731, 64, 2, 4, 73)
(10732, 30, 20, 4, 57)
(10733, 84, 61, 6, 44)
(10734, 66, 90, 4, 11)
(10735, 43, 65, 4, 34)
(10736, 87, 73, 6, 99)
(10737, 70, 12, 6, 49)
(10738, 29, 38, 6, 73)
(10739, 17, 22, 8, 4)
(10740, 94, 65, 6, 55)
(10741, 71, 41, 8, 30)
(10742, 92, 48, 4, 34)
(10743, 89, 43, 4, 73)
(10744, 51, 62, 4, 74)
(10745, 13, 42, 8, 47)
(10746, 31, 41, 8, 81)
(10747, 65, 1, 4, 47)
(10748, 12, 18, 8, 69)
(10749, 54, 100, 6, 86)
(10750, 24, 48, 8, 44)
(10751, 11, 93, 4, 76)
(10752, 49, 26, 4, 33)
(10753, 63, 77, 4, 39)
(10754, 1, 15, 8, 20)
(10755, 61, 20, 6, 31)
(10756, 42, 88, 6, 66)
(10757, 27, 91, 4, 18)
(10758, 71, 32, 6, 70)
(10759, 3, 32, 4, 23)
(10760, 3, 10, 6, 2)
(10761, 75, 65, 6, 37)
(10762, 100, 21, 6, 10)
(10763, 27, 91, 6, 70)
(10764, 80, 86, 6, 47)
(10765, 80, 39, 4, 77)
(10766, 99, 63, 4, 33)
(10767, 62, 60, 8, 21)
(10768, 59, 25, 8, 72)
(10769, 31, 56, 8, 72)
(10770, 19, 53, 8, 100)
(10771, 28, 70, 8, 27)
(10772, 86, 31, 8, 51)
(10773, 13, 80, 4, 20)
(10774, 36, 83, 6, 97)
(10775, 8, 57, 8, 76)
(10776, 72, 15, 4, 10)
(10777, 1, 67, 6, 34)
(10778, 51, 63, 8, 68)
(10779, 79, 56, 4, 76)
(10780, 90, 60, 8, 70)
(10781, 19, 86, 6, 54)
(10782, 12, 33, 8, 60)
(10783, 43, 37, 6, 74)
(10784, 39, 76, 6, 23)
(10785, 80, 94, 6, 99)
(10786, 14, 71, 4, 10)
(10787, 90, 56, 4, 22)
(10788, 43, 66, 4, 68)
(10789, 35, 15, 4, 40)
(10790, 24, 27, 6, 74)
(10791, 19, 99, 6, 74)
(10792, 66, 31, 6, 26)
(10793, 5, 68, 8, 56)
(10794, 47, 26, 8, 57)
(10795, 79, 47, 4, 56)
(10796, 89, 93, 8, 80)
(10797, 79, 90, 8, 10)
(10798, 30, 37, 4, 16)
(10799, 61, 52, 4, 96)
(10800, 68, 14, 6, 11)
(10801, 79, 51, 8, 8)
(10802, 23, 50, 6, 100)
(10803, 23, 100, 6, 88)
(10804, 75, 93, 8, 98)
(10805, 4, 68, 4, 99)
(10806, 78, 27, 8, 65)
(10807, 19, 50, 6, 94)
(10808, 29, 10, 8, 77)
(10809, 14, 5, 6, 63)
(10810, 100, 23, 6, 25)
(10811, 23, 12, 8, 12)
(10812, 50, 37, 4, 59)
(10813, 68, 94, 8, 61)
(10814, 53, 59, 4, 67)
(10815, 84, 20, 8, 25)
(10816, 93, 38, 6, 40)
(10817, 61, 48, 6, 77)
(10818, 6, 30, 6, 61)
(10819, 98, 100, 6, 63)
(10820, 88, 93, 8, 84)
